Course Code,Course Name,Department
ACCT1111,Foundations in Financial Accounting,ACCT
ACCT2111,Introductory Financial Accounting,ACCT
ACCT2121,Introductory Management Accounting,ACCT
ACCT3003,Professional Seminar Series,ACCT
ACCT3111,Financial Reporting I,ACCT
ACCT3112,Financial Reporting II,ACCT
ACCT3121,Cost and Management Accounting,ACCT
ACCT4011,Advanced Financial Accounting,ACCT
ACCT4131,Auditing,ACCT
BIOL2210,Ecology,BIOL
BIOL2213,Ecology Laboratory,BIOL
BIOL2420,Population Genetics,BIOL
BIOL3022,Biodiversity Laboratory II,BIOL
BIOL3310,Human Biology,BIOL
BIOL3530,Plant Physiology,BIOL
BIOL3570,Biology of Vascular Plants,BIOL
BIOL3620,Vertebrate Life,BIOL
BIOL4260,Conservation Biology,BIOL
BIOL4310,Human Genetics,BIOL
COMM1110,Media and Everyday Life,COMM
COMM1150,Intro to Media Ind & Practices,COMM
COMM2100,Audience Analysis and Strategy,COMM
COMM2300,Sound and Creative Media,COMM
COMM2812,Professional Public Relations Writing,COMM
COMM3200,Communication Professional Internship,COMM
COMM3610,English News Editing,COMM
COMM3939,Film Directors,COMM
COMM4040,Directed Studies in Communication,COMM
COMM4150,Senior Research Project,COMM
CSCI3100,Software Engineering,CSCI
CSCI3130,Formal Languages and Automata Theory,CSCI
CSCI3150,Introduction to Operating Systems,CSCI
CSCI3160,Design and Analysis of Algorithms,CSCI
CSCI3170,Intro to Database Systems,CSCI
CSCI3180,Principles of Programming Languages,CSCI
ENGE1610,Introduction to Literature,ENGE
ENGE1800,Drama in Performance I,ENGE
ENGE2110,Crime Fiction,ENGE
ENGE2170,Literature & Medicine,ENGE
ENGE2870,English Words,ENGE
ENGE3110,Romanticism,ENGE
ENGE3120,Modernism,ENGE
ENGE4120,Reading Paradise Lost,ENGE
ENGE4510,Shakespeare Festival,ENGE
STAT1011,Introduction to Statistics,STAT
STAT3003,Survey Methodsy,STAT
STAT3006,Statistical Computing,STAT
STAT3008,Applied Regression Analysis,STAT
STAT4003,Statistical Inference,STAT
STAT4005,Time Series,STAT
